INFO Watching for file changes with StatReloader
DEBUG Waiting for apps ready_event.
DEBUG Apps ready_event triggered. Sending autoreload_started signal.
DEBUG Watching dir C:\Users\DELL\Desktop\django-logging\django_logging\core\templates with glob **/*.
DEBUG Watching dir C:\Users\DELL\Desktop\django-logging\django_logging\locale with glob **/*.mo.
DEBUG Watching dir C:\Users\DELL\Desktop\django-logging\django_logging\core\locale with glob **/*.mo.
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\db\transaction.py first seen with mtime 1634140730.193953
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\core\checks\database.py first seen with mtime 1634140730.021024
DEBUG File C:\Users\DELL\Desktop\python\Lib\hashlib.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Desktop\django-logging\django_logging\core\__init__.py first seen with mtime 1650379992.7495453
DEBUG File C:\Users\DELL\Desktop\python\Lib\fnmatch.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\conf\urls\__init__.py first seen with mtime 1634140718.5300186
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\db\models\fields\__init__.py first seen with mtime 1634140731.6614606
DEBUG File C:\Users\DELL\Desktop\python\Lib\importlib\util.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Desktop\python\Lib\asyncio\exceptions.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\contrib\auth\checks.py first seen with mtime 1634140721.2910469
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\contrib\contenttypes\management\__init__.py first seen with mtime 1634140725.2358434
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\sqlparse\formatter.py first seen with mtime 1634140714.042586
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\contrib\sessions\__init__.py first seen with mtime 1634140728.760341
DEBUG File C:\Users\DELL\Desktop\python\Lib\datetime.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\utils\termcolors.py first seen with mtime 1634140732.076483
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\views\defaults.py first seen with mtime 1634140732.1272695
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\core\mail\message.py first seen with mtime 1634140730.0820997
DEBUG File C:\Users\DELL\Desktop\python\Lib\io.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\__init__.py first seen with mtime 1634140717.5119038
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\contrib\admin\apps.py first seen with mtime 1634140718.5401585
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\contrib\staticfiles\utils.py first seen with mtime 1634140729.9600637
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\urls\exceptions.py first seen with mtime 1634140731.9848094
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\contrib\auth\forms.py first seen with mtime 1634140721.301192
DEBUG File C:\Users\DELL\Desktop\python\Lib\shutil.py first seen with mtime 1630380926.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\asgiref\current_thread_executor.py first seen with mtime 1634140716.8526704
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\db\utils.py first seen with mtime 1634140730.193953
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\template\exceptions.py first seen with mtime 1634140731.9135997
DEBUG File C:\Users\DELL\Desktop\python\Lib\ctypes\wintypes.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\core\checks\async_checks.py first seen with mtime 1634140730.021024
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\utils\tree.py first seen with mtime 1634140732.0968213
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\sqlparse\engine\__init__.py first seen with mtime 1634140714.058212
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\db\backends\signals.py first seen with mtime 1634140730.193953
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\db\migrations\operations\special.py first seen with mtime 1634140731.6302087
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\utils\_os.py first seen with mtime 1634140731.994957
DEBUG File C:\Users\DELL\Desktop\python\Lib\opcode.py first seen with mtime 1630380926.0
DEBUG File C:\Users\DELL\Desktop\python\Lib\dis.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\core\files\move.py first seen with mtime 1634140730.0596268
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\contrib\admin\views\autocomplete.py first seen with mtime 1634140720.7581565
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\db\migrations\utils.py first seen with mtime 1634140731.6145828
DEBUG File C:\Users\DELL\Desktop\python\Lib\asyncio\base_futures.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Desktop\python\Lib\contextlib.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Desktop\python\Lib\threading.py first seen with mtime 1630380926.0
DEBUG File C:\Users\DELL\Desktop\python\Lib\email\headerregistry.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Desktop\python\Lib\secrets.py first seen with mtime 1630380926.0
DEBUG File C:\Users\DELL\Desktop\python\Lib\selectors.py first seen with mtime 1630380926.0
DEBUG File C:\Users\DELL\Desktop\python\Lib\wsgiref\util.py first seen with mtime 1630380926.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\urls\resolvers.py first seen with mtime 1634140731.9848094
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\forms\__init__.py first seen with mtime 1634140731.7305157
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\utils\baseconv.py first seen with mtime 1634140732.023357
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\contrib\auth\admin.py first seen with mtime 1634140721.2808754
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\db\models\indexes.py first seen with mtime 1634140731.6458354
DEBUG File C:\Users\DELL\Desktop\python\Lib\distutils\version.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Desktop\python\Lib\urllib\request.py first seen with mtime 1630380926.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\db\models\enums.py first seen with mtime 1634140731.6458354
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\core\signals.py first seen with mtime 1634140729.9905665
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\template\loaders\__init__.py first seen with mtime 1634140731.9339664
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\contrib\admin\exceptions.py first seen with mtime 1634140718.548243
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\db\models\sql\__init__.py first seen with mtime 1634140731.6992629
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\contrib\contenttypes\fields.py first seen with mtime 1634140721.9012766
DEBUG File C:\Users\DELL\Desktop\python\DLLs\_ctypes.pyd first seen with mtime 1630381004.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\contrib\admin\templatetags\admin_urls.py first seen with mtime 1634140720.742529
DEBUG File C:\Users\DELL\Desktop\python\Lib\traceback.py first seen with mtime 1630380926.0
DEBUG File C:\Users\DELL\Desktop\python\Lib\email\mime\base.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Desktop\python\Lib\asyncio\runners.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\contrib\messages\api.py first seen with mtime 1634140727.2774444
DEBUG File C:\Users\DELL\Desktop\python\Lib\email\encoders.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\http\request.py first seen with mtime 1634140731.8728633
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\contrib\staticfiles\apps.py first seen with mtime 1634140729.939699
DEBUG File C:\Users\DELL\Desktop\python\Lib\html\entities.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\views\decorators\csrf.py first seen with mtime 1634140732.145597
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\views\decorators\debug.py first seen with mtime 1634140732.1476667
DEBUG File C:\Users\DELL\Desktop\python\Lib\platform.py first seen with mtime 1630380926.0
DEBUG File C:\Users\DELL\Desktop\django-logging\django_logging\core\views.py first seen with mtime 1650399152.554864
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\utils\lorem_ipsum.py first seen with mtime 1634140732.0662718
DEBUG File C:\Users\DELL\Desktop\python\Lib\asyncio\events.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\core\checks\messages.py first seen with mtime 1634140730.021024
DEBUG File C:\Users\DELL\Desktop\python\Lib\sqlite3\__init__.py first seen with mtime 1630380926.0
DEBUG File C:\Users\DELL\Desktop\python\Lib\operator.py first seen with mtime 1630380926.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\contrib\staticfiles\management\__init__.py first seen with mtime 1634140729.9600637
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\sqlparse\filters\others.py first seen with mtime 1634140714.0738387
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\db\models\fields\json.py first seen with mtime 1634140731.677089
DEBUG File C:\Users\DELL\Desktop\python\Lib\random.py first seen with mtime 1630380926.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\sqlparse\cli.py first seen with mtime 1634140714.0360346
DEBUG File C:\Users\DELL\Desktop\python\Lib\unittest\runner.py first seen with mtime 1630380926.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\db\backends\sqlite3\__init__.py first seen with mtime 1634140730.295668
DEBUG File C:\Users\DELL\Desktop\python\DLLs\_hashlib.pyd first seen with mtime 1630381002.0
DEBUG File C:\Users\DELL\Desktop\python\Lib\lzma.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\views\decorators\common.py first seen with mtime 1634140732.137523
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\db\models\constants.py first seen with mtime 1634140731.6302087
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\db\models\constraints.py first seen with mtime 1634140731.6458354
DEBUG File C:\Users\DELL\Desktop\python\Lib\email\feedparser.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Desktop\python\Lib\string.py first seen with mtime 1630380926.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\core\checks\model_checks.py first seen with mtime 1634140730.0291545
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\core\servers\basehttp.py first seen with mtime 1634140730.183709
DEBUG File C:\Users\DELL\Desktop\python\Lib\wsgiref\headers.py first seen with mtime 1630380926.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\contrib\admin\templatetags\admin_list.py first seen with mtime 1634140720.742529
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\pytz\tzinfo.py first seen with mtime 1634140714.961136
DEBUG File C:\Users\DELL\Desktop\python\Lib\email\utils.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Desktop\python\Lib\logging\config.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\core\handlers\exception.py first seen with mtime 1634140730.0719478
DEBUG File C:\Users\DELL\Desktop\python\Lib\asyncio\base_subprocess.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\utils\cache.py first seen with mtime 1634140732.0254254
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\core\management\commands\__init__.py first seen with mtime 1634140730.1126316
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\utils\encoding.py first seen with mtime 1634140732.0459163
DEBUG File C:\Users\DELL\Desktop\python\Lib\importlib\abc.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\db\models\aggregates.py first seen with mtime 1634140731.6302087
DEBUG File C:\Users\DELL\Desktop\python\Lib\email\generator.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\contrib\admin\templatetags\admin_modify.py first seen with mtime 1634140720.742529
DEBUG File C:\Users\DELL\Desktop\python\Lib\keyword.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\utils\inspect.py first seen with mtime 1634140732.0561292
DEBUG File C:\Users\DELL\Desktop\python\Lib\_compression.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Desktop\python\Lib\difflib.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\db\models\signals.py first seen with mtime 1634140731.6614606
DEBUG File C:\Users\DELL\Desktop\python\Lib\ssl.py first seen with mtime 1630380926.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\db\models\deletion.py first seen with mtime 1634140731.6458354
DEBUG File C:\Users\DELL\Desktop\python\Lib\typing.py first seen with mtime 1630380926.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\sqlparse\filters\right_margin.py first seen with mtime 1634140714.0738387
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\db\backends\utils.py first seen with mtime 1634140730.2020257
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\db\models\fields\related_lookups.py first seen with mtime 1634140731.6927109
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\pytz\__init__.py first seen with mtime 1634140714.961136
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\db\__init__.py first seen with mtime 1634140730.1918817
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\template\backends\django.py first seen with mtime 1634140731.93188
DEBUG File C:\Users\DELL\Desktop\python\Lib\asyncio\base_tasks.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\contrib\messages\constants.py first seen with mtime 1634140727.287663
DEBUG File C:\Users\DELL\Desktop\python\Lib\http\server.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\db\backends\sqlite3\base.py first seen with mtime 1634140730.295668
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\contrib\auth\validators.py first seen with mtime 1634140721.3194783
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\db\migrations\__init__.py first seen with mtime 1634140731.5299282
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\utils\translation\reloader.py first seen with mtime 1634140732.1069653
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\utils\topological_sort.py first seen with mtime 1634140732.0968213
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\contrib\auth\__init__.py first seen with mtime 1634140721.2808754
DEBUG File C:\Users\DELL\Desktop\python\Lib\linecache.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\template\response.py first seen with mtime 1634140731.9216752
DEBUG File C:\Users\DELL\Desktop\python\Lib\asyncio\streams.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\sqlparse\engine\statement_splitter.py first seen with mtime 1634140714.058212
DEBUG File C:\Users\DELL\Desktop\python\Lib\_markupbase.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Desktop\python\Lib\ast.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\db\models\sql\query.py first seen with mtime 1634140731.714892
DEBUG File C:\Users\DELL\Desktop\python\Lib\sre_compile.py first seen with mtime 1630380926.0
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\middleware\security.py first seen with mtime 1634140731.8932548
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\sqlparse\filters\__init__.py first seen with mtime 1634140714.058212
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\db\backends\sqlite3\schema.py first seen with mtime 1634140730.3058171
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\db\backends\base\introspection.py first seen with mtime 1634140730.2142775
DEBUG File C:\Users\DELL\Desktop\python\Lib\encodings\aliases.py first seen with mtime 1630380924.0
DEBUG File C:\Users\DELL\Desktop\django-logging\django_logging\core\apps.py first seen with mtime 1650379992.7182953
DEBUG File C:\Users\DELL\Envs\pro\Lib\site-packages\django\utils\timesince.py first seen with mtime 1634140732.0866275
